# ENEMY roster — <slug><TAB><subject>. Subject = the creature only; STYLE is locked in gen.sh.
skeleton	a gaunt undead skeleton warrior in tattered leather scraps, a rusty jagged dagger and a battered round wooden shield, one glowing pale-blue eye socket, hunched aggressive stance
zombie	a rotting grey-green zombie in torn peasant rags, jaw hanging, arms reaching forward, shambling lurch
goblin	a small wiry green goblin with big pointed ears and a crude notched knife, crouched low, sneering
orc	a hulking broad grey-green orc brute with jutting tusks and a heavy chipped cleaver, roaring, shoulders forward
slime	a small round translucent green gelatinous blob with two beady eyes, mid-wobble
giant-rat	a mangy oversized brown rat with yellow buck teeth and a scabby tail, hunched and hissing
cave-bat	a small leathery dark-purple bat with sharp fangs and ragged wings spread wide, screeching
imp	a small red horned demon imp with little bat wings and a barbed tail, cackling, claws raised
wraith	a hooded tattered ghostly wraith, torn dark robes trailing, glowing eyes under the hood, skeletal claws outstretched
mushroom	a walking toadstool creature with a spotted domed cap, an angry little face and stubby legs, stomping
kobold	a small scaly lizard-dog kobold gripping a crude wooden spear, snarling, scrappy stance
