# boneyard roster — 10 enemies + 1 BOSS (last row). <slug>\t<subject>
bone-warrior	a skeletal warrior in rusted armor with a notched sword and cracked shield
rotting-ghoul	a hunched grey rotting ghoul with long claws and a gaping jaw, lurching
grave-wraith	a hooded tattered undead wraith rising from the grave, skeletal claws out
skeletal-archer	a skeleton archer in rotted leather drawing a warped bow
bone-hound	a skeletal undead dog, ribs exposed, jaws snapping
crawling-hand	a severed oversized skeletal hand scuttling and clutching
plague-corpse	a bloated greenish plague zombie oozing, lurching forward
grave-golem	a hulking golem built of packed bones and gravestones, lumbering
banshee	a gaunt spectral wailing woman in a torn burial shroud, mouth open, clawed
tomb-guard	an armored skeletal sentry with a heavy halberd and cracked tower shield
bone-colossus	a TOWERING BOSS colossus assembled from countless bones and skulls with glowing eye sockets, huge and imposing
