# dragons-ascent roster — 10 enemies + 1 BOSS (last row). <slug>\t<subject>
drake-hatchling	a small feisty purple dragon hatchling with stubby wings, snapping jaws
dragon-whelp	a young winged dragon whelp with scaly hide, snarling, wings half-spread
wyvern	a lean winged wyvern with a barbed tail and hooked claws, screeching
gargoyle	a hunched grey stone gargoyle with horns, wings and claws, snarling
dragonkin-warrior	a muscular scaled dragon-man warrior in ornate armor with a curved blade
cockatrice	a scaly feathered beast, part rooster part lizard, with a barbed tail, hostile
harpy	a winged clawed harpy with a fierce feathered body and sharp talons, screeching
arcane-golem	a golem of floating purple arcane-rune stone blocks with glowing seams, imposing
wyrmling-mage	a small robed dragonkin sorcerer with a staff and scaled snout, sneering
storm-drake	a sleek dragon with crackling storm-grey scales, wings spread
elder-wyrm	a COLOSSAL ancient dragon BOSS with a massive scaled body, huge horned head and spread wings, towering and imposing
