# emberfall roster — 10 enemies + 1 BOSS (last row). <slug>\t<subject>
cinder-imp	a small mischievous red fire imp with smoldering cracks in its skin, horns and claws
magma-golem	a hulking golem of blackened rock with glowing molten cracks, lumbering fists
hellhound	a snarling black hound with ember-glowing eyes and a cracked charred hide
lava-slug	a fat molten slug creature, a blackened crust over glowing lava, oozing
ember-bat	a charred leathery bat with glowing ember eyes, wings spread, screeching
ash-wraith	a gaunt hooded wraith of ash and cinder with glowing cracks and claws
flame-skull	a floating charred skull with molten cracks and glowing eye sockets
molten-knight	an armored knight in blackened cracked plate glowing molten at the seams, heavy sword
salamander	a fat fire lizard with a blackened glowing-cracked hide, snarling
coal-brute	a stocky brute of smoldering coal chunks with glowing seams, fists raised
infernal-tyrant	a MASSIVE horned fire-demon BOSS of blackened molten-cracked muscle with huge clawed hands, towering and imposing
