# frostvault roster — 10 enemies + 1 BOSS (last row). <slug>\t<subject>
ice-golem	a hulking golem of jagged blue ice shards, lumbering
frost-wraith	a gaunt hooded wraith wreathed in frost with icy claws and pale glowing eyes
frozen-zombie	a frostbitten blue-grey undead corpse crusted with ice, shambling
ice-slime	a translucent pale-blue frozen ooze blob with a frosty crust and beady eyes
frost-bat	a pale leathery frost bat with icy fangs, wings spread, screeching
snow-wolf	a shaggy white winter wolf with icy blue eyes, snarling
icicle-imp	a small pale-blue imp with icicle horns and claws, sneering
crystal-golem	a golem of sharp angular blue crystal facets, lumbering
wendigo	a gaunt emaciated antlered frost beast with pale hide and long claws
frostbite-ghoul	a hunched frost-covered ghoul with blue skin and jagged icy claws
glacial-warden	a TOWERING ancient ice-guardian BOSS of massive cracked blue glacier ice, huge and imposing
