# gloomwood roster — 10 enemies + 1 BOSS (last row). <slug>\t<subject>
dire-wolf	a snarling shaggy grey dire wolf, hackles raised, fangs bared
thorn-sprite	a small spiteful forest sprite made of twisted thorns and leaves, clawed
treant-sapling	a small angry walking tree creature with a gnarled bark face and root legs
goblin-archer	a wiry green forest goblin drawing a crude short bow, sneering
boar-brute	a hulking tusked wild boar with matted fur, head lowered charging
moss-troll	a mossy hunched forest troll with bark-like skin and long arms
shade-stalker	a lithe shadowy forest predator with pale glowing eyes, crouched to pounce
mushroom-brute	a stocky walking toadstool creature with a thick spotted cap, angry
antler-wraith	a gaunt stag-skulled forest wraith draped in vines with antlers and claws
thornhound	a beast of woven thorns and bramble shaped like a hound, snarling
elder-treant	a TOWERING ancient treant BOSS, a massive gnarled trunk body with glaring knothole eyes and huge root claws, imposing
