# mossbog roster — 10 enemies + 1 BOSS (last row). <slug>\t<subject>
bog-goblin	a slimy swamp goblin caked in mud and reeds wielding a rusty fishhook spear, crouched
bog-slime	a murky green swamp-ooze blob dripping muck with bubbling beady eyes
giant-leech	a fat glistening dark-green leech rearing up, a ringed sucker mouth full of teeth
mud-golem	a lumbering humanoid made of wet mud and tangled bog roots, hunched
swamp-hag	a warty green swamp witch in tattered mossy rags, clawed hands, hunched and cackling
giant-toad	a bloated warty swamp toad mid-croak, long sticky tongue, bulging eyes
reed-lurker	a gaunt amphibian humanoid draped in swamp reeds with webbed clawed hands
bog-zombie	a waterlogged rotting corpse tangled in weeds and mud, shambling
fen-lurcher	a small hunched lantern-headed swamp spirit with a gaunt draped body
snapvine	a carnivorous swamp plant creature, a fanged flytrap head on a thorny vine body
marsh-behemoth	a COLOSSAL hulking swamp-troll BOSS with mossy hide, tusks and massive fists, dripping bog water, towering and imposing
